Best Fit,X Values
"[3102, 5600]","[9, 7, 16, 4, 30]"
"[3552, 6140]","[9, 7, 25, 4, 30]"
"[3162, 5560]","[9, 7, 22, 0, 30]"
"[2695, 3900]","[0, 5, 25, 4, 30]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[3145, 4980]","[6, 5, 25, 4, 30]"
"[2664, 5260]","[14, 4, 25, 0, 0]"
"[2695, 4440]","[6, 5, 16, 4, 30]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[3070, 5340]","[11, 5, 16, 4, 30]"
"[2996, 4890]","[6, 6, 25, 0, 30]"
"[2618, 4620]","[0, 8, 25, 4, 16]"
"[3140, 4510]","[12, 0, 25, 4, 30]"
"[2803, 5150]","[7, 8, 16, 0, 30]"
"[2345, 4560]","[12, 5, 0, 4, 30]"
"[2550, 4125]","[15, 0, 19, 0, 19]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[2200, 3735]","[15, 0, 13, 0, 17]"
"[2785, 5510]","[12, 5, 25, 3, 0]"
"[2823, 5025]","[15, 3, 18, 0, 21]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[3065, 4690]","[15, 0, 19, 4, 30]"
"[2514, 4090]","[8, 4, 16, 0, 30]"
"[3278, 5520]","[15, 3, 19, 3, 30]"
"[3325, 5500]","[10, 5, 25, 2, 30]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[3185, 5480]","[10, 5, 25, 3, 22]"
"[2915, 4510]","[13, 0, 25, 4, 18]"
"[3461, 5830]","[9, 6, 25, 4, 30]"
"[2555, 4500]","[15, 0, 25, 3, 0]"
"[3296, 5610]","[10, 6, 25, 0, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[2450, 3570]","[12, 0, 16, 0, 30]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[2470, 3695]","[11, 0, 20, 2, 21]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[2625, 4050]","[15, 0, 15, 0, 30]"
"[2330, 3960]","[12, 0, 25, 3, 0]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2971, 5415]","[10, 6, 25, 0, 17]"
"[2982, 5535]","[8, 7, 25, 2, 15]"
"[3402, 5780]","[7, 7, 25, 4, 30]"
"[2412, 3985]","[0, 7, 25, 0, 21]"
"[3005, 5450]","[12, 5, 25, 0, 16]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2845, 4370]","[15, 0, 17, 2, 30]"
"[2859, 4900]","[0, 9, 21, 4, 30]"
"[3400, 5680]","[11, 5, 25, 2, 30]"
"[3001, 5490]","[9, 6, 25, 3, 14]"
"[3030, 4785]","[15, 0, 25, 3, 19]"
"[2302, 4640]","[9, 7, 0, 4, 30]"
"[2815, 5185]","[0, 10, 25, 3, 19]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[3185, 5750]","[12, 5, 25, 3, 16]"
"[1980, 2550]","[6, 0, 12, 3, 30]"
"[2701, 4995]","[8, 6, 19, 3, 17]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2817, 4420]","[0, 7, 25, 3, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[2690, 4870]","[0, 10, 17, 3, 30]"
"[2125, 4510]","[10, 5, 16, 2, 0]"
"[2405, 3330]","[9, 0, 16, 3, 30]"
"[2994, 4570]","[6, 4, 25, 3, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[2400, 5000]","[0, 10, 25, 4, 0]"
"[3357, 5760]","[8, 7, 25, 2, 30]"
"[2479, 5060]","[13, 4, 18, 4, 0]"
"[3110, 5435]","[10, 5, 25, 3, 19]"
"[3244, 5665]","[13, 4, 25, 3, 19]"
"[3290, 4870]","[14, 0, 25, 4, 30]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[2269, 4780]","[13, 4, 15, 3, 0]"
"[2903, 4260]","[6, 3, 25, 3, 30]"
"[3118, 5595]","[5, 8, 25, 4, 21]"
"[3204, 5030]","[8, 4, 25, 4, 30]"
"[2805, 4380]","[13, 0, 25, 3, 16]"
"[2996, 5430]","[10, 6, 25, 0, 18]"
"[3343, 5730]","[5, 8, 25, 4, 30]"
"[2668, 4470]","[0, 8, 19, 4, 30]"
"[2834, 4815]","[9, 4, 25, 2, 17]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2502, 4295]","[0, 7, 25, 4, 15]"
"[2985, 4940]","[8, 5, 20, 3, 30]"
